marketName,coin,action,usdcAmount,tokenAmount,tokenName,timestamp,hash,Column1
"XRP Up or Down - June 18, 7:35AM-7:40AM ET",XRP,Buy,-4.76662,5,Down,1781782631,0x4ad920e6c6c61e1683d48654648aaef8c23f7808ad767e7d0c049c3d3042eb84,4.76662
"XRP Up or Down - June 18, 7:30AM-7:35AM ET",XRP,Redeem,5,5,,1781782532,0x997700adbaab50528e852f913372a74fc43aaf71c7a7b207487cc166c3dc5915,-5
"XRP Up or Down - June 18, 7:30AM-7:35AM ET",XRP,Buy,-4.5315,5,Down,1781782340,0x795c65bdae95548cc5fdf995d601fdeff451709273106172c94ee50ce2ca3624,4.5315
"Solana Up or Down - June 18, 7:20AM-7:25AM ET",Sol,Sell,4.95,5,Down,1781781857,0x66fdc5dbabbe04f17d02426e26f3041ee5a96b4ee97910684f58d71067edd35b,-4.95
"XRP Up or Down - June 18, 7:20AM-7:25AM ET",XRP,Sell,4.68026,5,Down,1781781842,0x5e63c318d16e35dbaad26267c43219c4a1b49c25b147ca687a355dbce49102dd,-4.68026
"XRP Up or Down - June 18, 7:20AM-7:25AM ET",XRP,Buy,,5,Down,1781781814,0x268df7fa0b51bb5b3c7c3f7434ecfd9ed5d5a0f397b5461a65d09707425fb4cd,0
"Solana Up or Down - June 18, 7:20AM-7:25AM ET",Sol,Buy,-4.45,5,Down,1781781790,0xec1529cd1b8c9e0f6ceed4ad54f3d8beff2a00333b0ffb5e052656ee72826ba4,4.45
"Solana Up or Down - June 18, 7:15AM-7:20AM ET",Sol,Sell,4.36304,5,Down,1781781523,0x32926f3110021c70f8ca83b2f17928f4802c4fb669ce174f844e7221d49a0817,-4.36304
"XRP Up or Down - June 18, 7:15AM-7:20AM ET",XRP,Sell,4.94654,5,Down,1781781518,0xe64258936124ba8bdde59297a687057570ca076e9acc7449de4a67914366b773,-4.94654
"Solana Up or Down - June 18, 7:15AM-7:20AM ET",Sol,Buy,-3.67056,5,Down,1781781497,0x0d7e3e71306dd53f440175ebe80f9aac32699d8af5b3097a789eccf52650ee32,3.67056
"XRP Up or Down - June 18, 7:15AM-7:20AM ET",XRP,Buy,-4.29462,5,Down,1781781464,0xa3491185a7267b2d15f8c5f9fe1d8ccf044a180da516f46ebd6b619b046d1a99,4.29462
"XRP Up or Down - June 18, 7:10AM-7:15AM ET",XRP,Redeem,5,5,,1781781332,0xd4ca0678d621e6d56a0b049ef6c67740b3fcc9f5dc154eb2daee3411fd8da58f,-5
"Bitcoin Up or Down - June 18, 7:10AM-7:15AM ET",Bit,Redeem,5,5,,1781781331,0x6bf24cb06125eebb56970bc8956d5c3b6f00a0beae97b15592b0fce20ef4b526,-5
"Bitcoin Up or Down - June 18, 7:10AM-7:15AM ET",Bit,Buy,-4.76662,5,Down,1781781215,0x5dc8eba115dc509265015ee006790ac4d3b993c72877f2f3624db78479242011,4.76662
