"marketName","action","usdcAmount","tokenAmount","tokenName","timestamp","hash"
"Bitcoin Up or Down - June 19, 12:50AM-12:55AM ET","Redeem","3","3","","1781844935","0xf96bb44406cbcaf09a41e251220cf60e3587d3213fc042396f2ef6b7f4c3246d"
"Bitcoin Up or Down - June 19, 12:50AM-12:55AM ET","Buy","2.88806","3","Down","1781844799","0xda66196a8c431632e8a569f35762d09350d6124328e4360f2c55a9a25b360cc4"
"Maker rebate","Maker Rebate","1.102","1.102","USDC","1781829926","0x12dbbe7ba11f92bbe0622c0169ee554a60aae7a372a3ee0c2efeac1f753ad720"
"XRP Up or Down - June 18, 6:45PM-6:50PM ET","Sell","3.89194","5","Down","1781822993","0xfb234b47b61d656a6bdcae765eb048bc6ebaf41dd71cf617c12e569bf53f5d02"
"XRP Up or Down - June 18, 6:45PM-6:50PM ET","Buy","4.95346","5","Down","1781822974","0xb59186dd4e4d88dc107023869bc04c9a6d46b5e9ca66ebb5d5de2fb9df7c28e1"
"XRP Up or Down - June 18, 6:45PM-6:50PM ET","Sell","4.10062","5","Down","1781822908","0xc3c2958ee1156c89c48a14b5b537ef5adffa74865bfeff1e9914ab4b01d2c4ad"
"XRP Up or Down - June 18, 6:45PM-6:50PM ET","Buy","4.90686","5","Down","1781822854","0xc3a298d0294466fd186bb638513392e0e441d10e3a0c5e6e5953167e1af55a29"
"XRP Up or Down - June 18, 6:35PM-6:40PM ET","Redeem","12.55","12.55","","1781822435","0xf9a324de4cbf3031cdacbfe05908c7cb0d2e5aee205977ad115406409590f224"
"XRP Up or Down - June 18, 6:35PM-6:40PM ET","Buy","4.9","5","Up","1781822353","0x8b12d31a3783e9717b72d048979a5d0dacadecd6d3267e02e41c59d4ea96c6f9"
"XRP Up or Down - June 18, 6:35PM-6:40PM ET","Buy","2.23868","2.55","Up","1781822267","0xbd993b5efb04b2ed429fbaabb9005439ecf976b2d1d2f91cd6e81301d51fadf4"
"XRP Up or Down - June 18, 6:35PM-6:40PM ET","Buy","4.34214","5","Up","1781822257","0x12ef256274dabbb8882a87c11b02c4d8382d92c4fe0977bb100bfae3a30256bc"
"XRP Up or Down - June 18, 6:30PM-6:35PM ET","Sell","4.946540000000001","5","Down","1781822105","0x231bca93b44e9683ca0ba08bea06eb2c9cc45b2883373e5e16df644bb854d0ac"
"XRP Up or Down - June 18, 6:30PM-6:35PM ET","Buy","3.7212","4.43","Down","1781822078","0x1cad98f1d014aebb109371ddf153691b36b1b73bc4ded075d7ae5b08e34de5c5"
"XRP Up or Down - June 18, 6:30PM-6:35PM ET","Buy","0.4788","0.57","Down","1781822074","0x463f4fb0406df431fd96bda8de08859010f0d8fb4b374f3f72813b2679191b26"
"XRP Up or Down - June 18, 6:25PM-6:30PM ET","Redeem","5","5","","1781821832","0x22d8ef32355d064af2c22160ded2d6118909656da5fc6d7faa03121b3859f611"
"XRP Up or Down - June 18, 6:25PM-6:30PM ET","Buy","4.62576","5","Up","1781821627","0xba390d2425427000bcf857d20952c4f0236f8abbddcf81d2d327757369f80472"
"XRP Up or Down - June 18, 6:20PM-6:25PM ET","Sell","4.83982","5","Up","1781821399","0xa40101e0a462017805999687b576eaa1d2c083ead458cdc2de412af210cadcd7"
"XRP Up or Down - June 18, 6:20PM-6:25PM ET","Buy","4.38958","5","Up","1781821382","0x0ee476fd32bbce14e6f23b7b7984d65b1991877442025b3753e4b1feaa9ef9b9"
"XRP Up or Down - June 18, 6:15PM-6:20PM ET","Redeem","5","5","","1781821264","0x5fdabf84eb0565bb7ee9a1013a41501b62313ee22a6278b9f5fdbfc80ee6ce42"
"XRP Up or Down - June 18, 6:15PM-6:20PM ET","Buy","4.95346","5","Down","1781821138","0x75363bac8f7d7038494d5cadbeee4caa9f35df813282318d5529cc56ec520265"
"XRP Up or Down - June 18, 6:10PM-6:15PM ET","Redeem","5","5","","1781821000","0x857ce6fce1faea859c177696e6bfbcab4fedcc90f0927576ca06a8d6c297dbcc"
"Bitcoin Up or Down - June 18, 6:15PM-6:30PM ET","Buy","1.144137","2.724135","Up","1781820983","0xdaff3b1249a815b087f1806ec4eb6cf9520e0af00a9e4a2c4b809fee6ae59a37"
"Bitcoin Up or Down - June 18, 6:15PM-6:30PM ET","Buy","0.9534","2.27","Up","1781820983","0x9cb13e85c9b118f67c0784303c609fec2e42843bae1542918ae6f9492a063a4e"
"XRP Up or Down - June 18, 6:10PM-6:15PM ET","Buy","4.57866","5","Up","1781820851","0xe44536687493046094c355d0fadec5f703ec09e548c2ef0c645bf07938fcbe12"
"XRP Up or Down - June 18, 6:00PM-6:05PM ET","Redeem","5","5","","1781820367","0xde312cad07e11aa996349a0c40720c87ece60f0b10cd801bbb2ded957f4f4dc4"
"XRP Up or Down - June 18, 6:00PM-6:05PM ET","Buy","4.86018","5","Down","1781820233","0xdb0a33259d6dee12a19d612bb9f31da2703ddac9ecaa943ad3a2edf78349642e"
"Bitcoin Up or Down - June 18, 5:45PM-6:00PM ET","Redeem","5","5","","1781820049","0x0d3c2dd67dbd0b4cd6d31079560702394c279426e7c2ef9313e5fc25a23a28fc"
"XRP Up or Down - June 18, 5:50PM-5:55PM ET","Redeem","5","5","","1781819762","0x0dc3615a36e8776d2ecbae01b0356b0de3d0c71ddf0c04b068b6b0f6b9177d9b"
"XRP Up or Down - June 18, 5:50PM-5:55PM ET","Buy","4.95346","5","Down","1781819665","0x333257a1ab786f99e55c41635eec2916670ba367971e3afdcf8fae3fb52c7d18"
"Bitcoin Up or Down - June 18, 5:45PM-6:00PM ET","Buy","0.4872","1.16","Up","1781819620","0xbae89fe40e3691e38a4e4ed1f4b6195defcbe1bae713d7b79fcbd574e72c164f"
"Bitcoin Up or Down - June 18, 5:45PM-6:00PM ET","Buy","1.6128","3.84","Up","1781819620","0xbf488f3ce2ee98c8b3437bbee6812b5b175ef643fcbd30bb7394890cc3b29f02"
"XRP Up or Down - June 18, 5:45PM-5:50PM ET","Sell","4.78656","5","Up","1781819348","0xa031ea68d0f6693b7d3e1cc502a988f022e2c3499711b29ee4312f1a81a466dc"
"Bitcoin Up or Down - June 18, 5:45PM-6:00PM ET","Buy","2.05","5","Down","1781819258","0xa79f66646e3bbe5fc2c1aa20b3a6cf724b56dc83d2b1425fa125b1f645f25a85"
"XRP Up or Down - June 18, 5:45PM-5:50PM ET","Buy","4.34214","5","Up","1781819230","0x30ebbc92dbecdc12537c4c2d4c93057792e09fb9e9f38e1a070647cf6efcca0f"
"XRP Up or Down - June 18, 5:30PM-5:35PM ET","Sell","4.83982","5","Up","1781818456","0x926ae954fa75fb520db559e5f8a4bc2b5e6606e809ba4fcf1c4fe49dd99ca228"
"XRP Up or Down - June 18, 5:30PM-5:35PM ET","Buy","4.38958","5","Up","1781818334","0xe6c6032d746fc73dab299402031467c83fbd09b46599baded4dee7d35988e8f4"
"XRP Up or Down - June 18, 5:25PM-5:30PM ET","Redeem","5","5","","1781818262","0x291a46e32ea7847648fe36ebd4b4b8fda2ebba031886daef93f5ecf1edba03df"
"XRP Up or Down - June 18, 5:25PM-5:30PM ET","Buy","4.67278","5","Down","1781818109","0x627e8e4fd182e9700a1ac2906e02a43905ad423e21208ab16f860b2552ed6035"
"Bitcoin Up or Down - June 18, 5PM ET","Buy","2","5","Up","1781817034","0x7976978b291d3d439fdfd2f2cca4ccee0564e6f2aa4c1a14b665dd2adde20ca2"
"XRP Up or Down - June 18, 4:55PM-5:00PM ET","Sell","2.86534","5","Down","1781816378","0x85feea0a57dfe8293bff2d7793c29d2999f22d7d003708742e9cbfbee49ee737"
